ciudad,Año,Trimestre,Mes,Día,Índice,producto,temporada,id_ciudad,id_producto,evento,unidades_vendidas
el_salto,2022,Qtr 1,enero,1,1,agua,invierno,5,2,0,84
el_salto,2022,Qtr 1,enero,1,1,bebida_energizante,invierno,5,4,0,43
el_salto,2022,Qtr 1,enero,1,1,jugo,invierno,5,3,0,48
el_salto,2022,Qtr 1,enero,1,1,refresco,invierno,5,1,0,99
el_salto,2022,Qtr 1,enero,1,1461,agua,invierno,5,2,0,84
el_salto,2022,Qtr 1,enero,1,1461,bebida_energizante,invierno,5,4,0,43
el_salto,2022,Qtr 1,enero,1,1461,jugo,invierno,5,3,0,48
el_salto,2022,Qtr 1,enero,1,1461,refresco,invierno,5,1,0,99
el_salto,2022,Qtr 1,enero,1,1462,agua,invierno,5,2,0,84
el_salto,2022,Qtr 1,enero,1,1462,bebida_energizante,invierno,5,4,0,43
el_salto,2022,Qtr 1,enero,1,1462,jugo,invierno,5,3,0,48
el_salto,2022,Qtr 1,enero,1,1462,refresco,invierno,5,1,0,99
el_salto,2022,Qtr 1,enero,1,1463,agua,invierno,5,2,0,84
el_salto,2022,Qtr 1,enero,1,1463,bebida_energizante,invierno,5,4,0,43
el_salto,2022,Qtr 1,enero,1,1463,jugo,invierno,5,3,0,48
el_salto,2022,Qtr 1,enero,1,1463,refresco,invierno,5,1,0,99
el_salto,2022,Qtr 1,enero,1,1464,agua,invierno,5,2,0,84
el_salto,2022,Qtr 1,enero,1,1464,bebida_energizante,invierno,5,4,0,43
el_salto,2022,Qtr 1,enero,1,1464,jugo,invierno,5,3,0,48
el_salto,2022,Qtr 1,enero,1,1464,refresco,invierno,5,1,0,99
el_salto,2022,Qtr 1,enero,1,2,agua,invierno,5,2,0,84
el_salto,2022,Qtr 1,enero,1,2,bebida_energizante,invierno,5,4,0,43
el_salto,2022,Qtr 1,enero,1,2,jugo,invierno,5,3,0,48
el_salto,2022,Qtr 1,enero,1,2,refresco,invierno,5,1,0,99
el_salto,2022,Qtr 1,enero,1,2921,agua,invierno,5,2,0,84
el_salto,2022,Qtr 1,enero,1,2921,bebida_energizante,invierno,5,4,0,43
el_salto,2022,Qtr 1,enero,1,2921,jugo,invierno,5,3,0,48
el_salto,2022,Qtr 1,enero,1,2921,refresco,invierno,5,1,0,99
el_salto,2022,Qtr 1,enero,1,2922,agua,invierno,5,2,0,84
el_salto,2022,Qtr 1,enero,1,2922,bebida_energizante,invierno,5,4,0,43
